je_id,posted_by,posted_at,amount,account
JE5039,E1009,6/17/2026 8:00,15706.39,Revenue
JE5040,E1049,4/20/2026 11:00,-12964.53,Inventory
JE5041,E1033,4/29/2026 8:00,2296.23,Revenue
JE5042,E1029,2/4/2026 15:00,6703.11,Payroll
JE5043,E1038,3/23/2026 15:00,4506.09,Inventory
JE5044,E1057,5/11/2026 14:00,13222.77,Payroll
JE5045,E1028,2/10/2026 15:00,-1997.21,COGS
JE5046,E1053,6/15/2026 12:00,10632.55,Payroll
JE5047,E1031,6/10/2026 11:00,-9016.1,Revenue
JE5048,E1045,3/16/2026 11:00,-9131.4,AP
JE5049,E1057,5/19/2026 9:00,-14465.04,COGS
JE5050,E1024,6/29/2026 10:00,8256.77,Revenue
JE5051,E1026,4/15/2026 13:00,1704.45,AR
JE5052,E1003,2/23/2026 14:00,-4420.93,Payroll
JE5053,E1044,1/6/2026 17:00,-4784.76,Revenue
JE5054,E1022,3/18/2026 14:00,14137.92,AR
JE5055,E1034,7/13/2026 16:00,11994.73,COGS
JE5056,E1031,2/26/2026 12:00,-2566.56,Revenue
JE5057,E1024,3/30/2026 14:00,8967.26,AR
JE5058,E1058,2/2/2026 17:00,1364.95,AR
JE5059,E1037,5/25/2026 8:00,-16642.1,AR
JE5060,E1008,4/29/2026 10:00,-17988.61,AR
JE5061,E1020,2/24/2026 15:00,-6926.17,AR
JE5062,E1017,7/13/2026 14:00,-9909.14,Revenue
JE5063,E1030,1/5/2026 16:00,-17916.58,AP
JE5064,E1014,6/16/2026 9:00,11249.32,Inventory
JE5065,E1002,7/13/2026 8:00,17984.47,COGS
JE5066,E1053,1/6/2026 17:00,-13904.71,COGS
JE5067,E1030,6/22/2026 9:00,2558.78,COGS
JE5068,E1029,6/29/2026 12:00,10675.92,COGS
JE5069,E1038,6/5/2026 9:00,11111.68,COGS
JE5070,E1019,1/28/2026 17:00,-18972.86,AP
JE5071,E1036,6/23/2026 14:00,-4133.82,Inventory
JE5072,E1012,1/20/2026 17:00,7624.58,Inventory
JE5073,E1015,1/27/2026 12:00,14011.73,Payroll
JE5074,E1051,2/2/2026 17:00,11305.41,AP
JE5075,E1034,4/20/2026 13:00,-17241.73,Inventory
JE5076,E1021,1/5/2026 14:00,12893.24,Revenue
JE5077,E1027,4/3/2026 15:00,8292.35,AR
JE5078,E1011,7/7/2026 16:00,18618.95,AP
JE5079,E1039,7/27/2026 16:00,10985.66,AR
JE5080,E1027,7/31/2026 17:00,-9264.18,COGS
JE5081,E1053,1/23/2026 12:00,15265.25,COGS
JE5082,E1048,4/29/2026 17:00,4413.27,AR
JE5083,E1021,1/8/2026 15:00,14038.11,COGS
JE5084,E1031,2/24/2026 13:00,11913.29,AP
JE5085,E1017,6/2/2026 12:00,2231.64,Payroll
JE5086,E1012,1/22/2026 11:00,8802.99,AR
JE5087,E1035,7/14/2026 11:00,7624.37,Inventory
JE5088,E1045,5/6/2026 15:00,11717.31,Revenue
JE5089,E1018,2/26/2026 14:00,7671.49,AP
JE5090,E1042,5/29/2026 13:00,-1069.58,Payroll
JE5091,E1022,4/20/2026 16:00,-6768.35,Inventory
JE5092,E1029,3/11/2026 12:00,-9943.85,Revenue
JE5093,E1046,2/19/2026 13:00,-15217.81,Payroll
JE5094,E1048,6/26/2026 10:00,-12338.36,Inventory
JE5095,E1030,3/12/2026 17:00,19064.28,Payroll
JE5096,E1038,3/16/2026 9:00,13305.13,AP
JE5097,E1014,4/3/2026 10:00,-7909.3,Inventory
JE5098,E1034,2/2/2026 12:00,-18179.37,Revenue
JE5099,E1035,3/16/2026 10:00,5514.79,AR
JE5100,E1006,1/5/2026 17:00,-8626.43,AR
JE5101,E1028,3/30/2026 10:00,18619.91,AP
JE5102,E1055,5/4/2026 9:00,12884.63,AR
JE5103,E1031,1/19/2026 17:00,5177.83,Revenue
JE5104,E1009,2/9/2026 17:00,17965.03,Revenue
JE5105,E1015,2/2/2026 16:00,10577.74,Payroll
JE5106,E1038,7/22/2026 17:00,-10972.51,Payroll
JE5107,E1024,4/27/2026 15:00,-8105.87,Payroll
JE5108,E1027,3/20/2026 17:00,4841.09,Payroll
JE5109,E1047,1/26/2026 11:00,5020.6,AP
JE5110,E1042,1/21/2026 10:00,-10405.39,Payroll
JE5111,E1004,2/10/2026 8:00,-3659.3,Inventory
JE5112,E1038,5/1/2026 12:00,-18694.41,AP
JE5113,E1045,3/16/2026 15:00,-17152.81,COGS
JE5114,E1059,3/9/2026 17:00,6447.32,COGS
JE5115,E1027,1/30/2026 16:00,-11007.62,COGS
JE5116,E1058,3/10/2026 10:00,-17143.61,COGS
JE5117,E1050,3/20/2026 17:00,9958.31,Payroll
JE5118,E1058,3/16/2026 15:00,-15025.85,Inventory
JE5119,E1019,6/29/2026 14:00,17707.05,Payroll
JE5120,E1034,5/7/2026 15:00,-16782.33,Revenue
JE5121,E1056,4/21/2026 13:00,4148.55,Revenue
JE5122,E1005,3/2/2026 17:00,3484.92,Revenue
JE5123,E1048,6/22/2026 12:00,3049.88,COGS
JE5124,E1030,5/13/2026 15:00,16642.91,COGS
JE5125,E1037,4/22/2026 15:00,18762.21,AR
JE5126,E1022,4/15/2026 13:00,-7157.67,Revenue
JE5127,E1054,2/11/2026 13:00,-3534.2,AR
JE5128,E1018,6/19/2026 14:00,12542.64,Payroll
JE5129,E1002,4/27/2026 9:00,-7419.31,AP
JE5130,E1007,7/17/2026 14:00,14596.42,Revenue
JE5131,E1042,5/19/2026 15:00,-3470.1,COGS
JE5132,E1033,4/3/2026 17:00,10257.73,Inventory
JE5133,E1028,7/14/2026 8:00,-11857.67,Payroll
JE5134,E1008,3/16/2026 15:00,15233.86,AR
JE5135,E1007,1/8/2026 17:00,11972.55,Inventory
JE5136,E1010,3/23/2026 16:00,-19453.02,AR
JE5137,E1005,2/27/2026 9:00,-1542.08,Revenue
JE5138,E1041,8/3/2026 10:00,-64.98,Inventory
JE5139,E1018,5/11/2026 12:00,-3380.39,AR
JE5140,E1030,3/4/2026 15:00,2050.6,AR
JE5141,E1012,6/3/2026 16:00,9851.7,COGS
JE5142,E1055,1/19/2026 12:00,10907.01,AR
JE5143,E1021,7/21/2026 16:00,-9313.09,Revenue
JE5144,E1018,7/6/2026 12:00,13499.04,Payroll
JE5145,E1042,5/6/2026 10:00,-2138.1,AR
JE5146,E1022,3/27/2026 16:00,10514.91,AR
JE5147,E1029,3/24/2026 11:00,19230.99,COGS
JE5148,E1036,4/9/2026 11:00,14240.52,AR
JE5149,E1002,3/23/2026 15:00,8209.12,AR
JE5150,E1024,6/19/2026 10:00,-186.85,Revenue
JE5151,E1008,5/11/2026 17:00,-6720.21,Revenue
JE5152,E1055,8/5/2026 15:00,-16011.53,AR
JE5153,E1000,7/6/2026 10:00,-3600.86,Inventory
JE5154,E1009,1/20/2026 15:00,11261.01,AP
JE5155,E1021,6/9/2026 14:00,5993.47,AP
JE5156,E1054,6/22/2026 16:00,-4799.62,AP
JE5157,E1040,7/3/2026 15:00,14895.32,Revenue
JE5158,E1039,1/19/2026 11:00,5246.44,AP
JE5159,E1014,7/13/2026 9:00,-2641.14,Revenue
JE5160,E1048,6/12/2026 9:00,-2252.86,Inventory
JE5161,E1019,1/8/2026 8:00,-7025.01,Revenue
JE5162,E1018,4/2/2026 13:00,-2772.53,COGS
JE5163,E1033,4/16/2026 17:00,7272.01,COGS
JE5164,E1010,2/16/2026 9:00,4379.67,AR
JE5165,E1039,6/24/2026 11:00,-93.31,Payroll
JE5166,E1009,3/2/2026 15:00,5516.19,AR
JE5167,E1016,6/22/2026 8:00,15956.34,AR
JE5168,E1057,3/16/2026 16:00,-13680.98,AR
JE5169,E1022,6/1/2026 12:00,5557.55,AR
JE5170,E1044,3/6/2026 15:00,13812.16,COGS
JE5171,E1024,8/7/2026 15:00,-15733.87,AR
JE5172,E1036,4/2/2026 17:00,-8165.1,Inventory
JE5173,E1018,1/6/2026 14:00,-9020.78,Payroll
JE5174,E1055,6/25/2026 8:00,16424.68,Inventory
JE5175,E1031,8/3/2026 12:00,11029.64,COGS
JE5176,E1038,7/27/2026 13:00,-11239.82,COGS
JE5177,E1039,3/6/2026 10:00,5129.92,Inventory
JE5178,E1041,1/12/2026 12:00,11544.42,Revenue
JE5179,E1037,4/6/2026 10:00,-16394.66,AP
JE5180,E1020,7/13/2026 14:00,-12974.4,COGS
JE5181,E1050,5/19/2026 13:00,1234.09,AP
JE5182,E1053,2/12/2026 12:00,16561.96,AR
JE5183,E1051,3/17/2026 13:00,12169.3,AR
JE5184,E1004,2/6/2026 11:00,14405.62,Inventory
JE5185,E1043,4/13/2026 16:00,-5369,AR
JE5186,E1000,3/9/2026 16:00,-15056.45,AP
JE5187,E1043,7/13/2026 12:00,3382.4,Inventory
JE5188,E1023,1/28/2026 11:00,-1140.93,Payroll
JE5189,E1056,5/25/2026 13:00,16610.24,COGS
JE5190,E1041,1/19/2026 15:00,16375.51,AP
JE5191,E1041,4/15/2026 9:00,-14408.92,Revenue
JE5192,E1019,5/7/2026 9:00,-16112.32,Payroll
JE5193,E1008,4/10/2026 15:00,-5159.54,Inventory
JE5194,E1044,5/19/2026 14:00,3493.61,Inventory
JE5195,E1009,4/17/2026 9:00,13347.72,Payroll
JE5196,E1026,3/13/2026 8:00,7611.23,COGS
JE5197,E1028,4/24/2026 11:00,14218.01,Revenue
JE5198,E1043,4/6/2026 16:00,16067.85,Inventory
JE5199,E1022,1/16/2026 14:00,-8964.74,Revenue
JE5200,E1054,7/30/2026 15:00,-16333.06,COGS
JE5201,E1041,6/15/2026 17:00,18843.73,Revenue
JE5202,E1050,3/27/2026 11:00,19552.84,Payroll
JE5203,E1013,1/19/2026 16:00,-11713.71,COGS
JE5204,E1052,3/2/2026 13:00,10974.74,Payroll
JE5205,E1000,3/12/2026 10:00,19501.09,Payroll
JE5206,E1016,7/24/2026 10:00,-15602.95,Revenue
JE5207,E1008,1/5/2026 13:00,11599.39,COGS
JE5208,E1037,3/24/2026 8:00,-13030.15,Revenue
JE5209,E1008,7/9/2026 14:00,1043.42,Inventory
JE5210,E1004,5/4/2026 15:00,11120.68,Payroll
JE5211,E1037,1/28/2026 15:00,153.55,Payroll
JE5212,E1002,7/6/2026 16:00,-7934.79,Inventory
JE5213,E1001,1/16/2026 15:00,13891.94,AR
JE5214,E1043,1/28/2026 15:00,8496.05,AR
JE5215,E1004,1/21/2026 13:00,4331.9,Revenue
JE5216,E1008,3/12/2026 17:00,5323.07,Payroll
JE5217,E1045,3/25/2026 14:00,19785.11,Payroll
JE5218,E1018,4/27/2026 16:00,4217.07,Revenue
JE5219,E1050,6/29/2026 9:00,14111.71,Inventory
JE5220,E1056,7/16/2026 16:00,8833.6,COGS
JE5221,E1027,4/27/2026 11:00,-3447.46,AR
JE5222,E1025,4/17/2026 9:00,-7498.07,AP
JE5223,E1042,3/9/2026 13:00,18143.7,Inventory
JE5224,E1059,5/4/2026 9:00,-16351.01,Revenue
JE5225,E1005,4/21/2026 9:00,9783.56,AP
JE5226,E1051,2/3/2026 16:00,-17600.76,Payroll
JE5227,E1035,3/26/2026 9:00,-3567.65,Inventory
JE5228,E1048,4/20/2026 8:00,18735.95,Payroll
JE5229,E1019,4/1/2026 9:00,3116.74,COGS
JE5230,E1009,6/18/2026 15:00,-11030.21,Revenue
JE5231,E1022,8/5/2026 16:00,-5297.56,AP
JE5232,E1036,2/27/2026 14:00,13806.21,Payroll
JE5233,E1039,6/22/2026 16:00,-18949.85,Inventory
JE5234,E1053,6/29/2026 12:00,-18841.87,AP
JE5235,E1044,7/15/2026 12:00,16861.5,AP
JE5236,E1000,2/16/2026 10:00,2652.84,AR
JE5237,E1004,2/6/2026 8:00,-16329.69,Payroll
JE5238,E1013,4/7/2026 14:00,-1854.17,COGS
JE5239,E1023,3/23/2026 13:00,11073.42,Payroll
JE5240,E1038,1/22/2026 8:00,-13776.8,Payroll
JE5241,E1003,6/22/2026 9:00,-9115.89,Inventory
JE5242,E1027,5/5/2026 17:00,-2318.23,AP
JE5243,E1013,7/13/2026 16:00,-15447.3,AR
JE5244,E1007,3/16/2026 17:00,-534.69,Inventory
JE5245,E1019,1/12/2026 11:00,-4189.46,Payroll
JE5246,E1003,1/2/2026 11:00,-7943.23,COGS
JE5247,E1049,2/5/2026 12:00,-8422.11,Revenue
JE5248,E1000,5/8/2026 14:00,-12972.21,AR
JE5249,E1034,6/30/2026 11:00,10.49,Inventory
JE5250,E1051,4/1/2026 9:00,-4117.15,Inventory
JE5251,E1002,4/22/2026 8:00,-1609.83,Revenue
JE5252,E1055,3/23/2026 17:00,-2828.63,AR
JE5253,E1045,6/15/2026 14:00,-8419.39,AR
JE5254,E1001,3/25/2026 10:00,12052.89,Payroll
JE5255,E1029,8/3/2026 13:00,-16474.8,Revenue
JE5256,E1015,4/22/2026 17:00,-3982.01,Revenue
JE5257,E1025,3/23/2026 13:00,-11137.12,COGS
JE5258,E1004,5/11/2026 9:00,1224.19,COGS
JE5259,E1057,7/20/2026 13:00,-5956.01,Inventory
JE5260,E1052,2/9/2026 11:00,-15887.82,AP
JE5261,E1012,2/16/2026 17:00,-13885.21,Inventory
JE5262,E1004,2/16/2026 15:00,-1441.88,Payroll
JE5263,E1048,5/29/2026 15:00,7245.34,Payroll
JE5264,E1041,6/12/2026 17:00,-7071.67,Inventory
JE5265,E1020,2/9/2026 15:00,-17268.55,AR
JE5266,E1040,3/19/2026 12:00,3656.79,AP
JE5267,E1032,1/19/2026 12:00,-1530.3,Revenue
JE5268,E1003,4/6/2026 12:00,-16930.76,Revenue
JE5269,E1039,6/2/2026 16:00,-4620.7,Payroll
JE5270,E1035,7/22/2026 8:00,-2010.65,Payroll
JE5271,E1041,2/18/2026 13:00,4200.23,Payroll
JE5272,E1009,1/16/2026 15:00,-15859.92,AP
JE5273,E1045,1/22/2026 16:00,5845.08,Revenue
JE5274,E1015,7/1/2026 15:00,19639.44,Payroll
JE5275,E1033,6/8/2026 10:00,-5444.08,AP
JE5276,E1024,4/15/2026 13:00,7155.91,Revenue
JE5277,E1050,6/11/2026 13:00,-17363.53,Revenue
JE5278,E1035,6/23/2026 14:00,-8634.12,Inventory
JE5279,E1054,6/18/2026 17:00,14931.19,AP
JE5280,E1005,6/1/2026 10:00,16669.86,AP
JE5281,E1041,6/29/2026 14:00,-14841.93,Inventory
JE5282,E1005,3/23/2026 16:00,-4932.83,AP
JE5283,E1052,2/2/2026 16:00,-16261.88,Inventory
JE5284,E1027,5/11/2026 13:00,-19270.78,AP
JE5285,E1011,2/24/2026 13:00,17906.73,AR
JE5286,E1012,2/27/2026 10:00,-13802.19,AP
JE5287,E1054,7/21/2026 9:00,307.59,Payroll
JE5288,E1053,7/9/2026 16:00,-18490.1,AP
JE5289,E1056,7/16/2026 17:00,-14758.04,AR
JE5290,E1009,2/11/2026 10:00,13253.8,Payroll
JE5291,E1051,2/12/2026 15:00,-18252.3,AP
JE5292,E1043,7/6/2026 11:00,18783.54,Payroll
JE5293,E1018,7/13/2026 15:00,-10639.88,COGS
JE5294,E1019,7/27/2026 15:00,16158.97,COGS
JE5295,E1023,6/23/2026 17:00,19377.59,AR
JE5296,E1049,3/16/2026 14:00,116.27,AR
JE5297,E1010,7/29/2026 11:00,12050.37,COGS
JE5298,E1055,3/6/2026 8:00,5647.16,AP
JE5299,E1035,1/27/2026 16:00,14046.64,AP
JE5300,E1005,7/15/2026 10:00,-9088.35,Payroll
JE5301,E1009,8/3/2026 14:00,-16331.46,COGS
JE5302,E1052,4/27/2026 13:00,17218.88,AR
JE5303,E1003,4/13/2026 16:00,-5041.54,AR
JE5304,E1005,4/6/2026 11:00,-18872.5,Revenue
JE5305,E1053,7/2/2026 13:00,11655.23,COGS
JE5306,E1002,3/16/2026 15:00,7842.88,COGS
JE5307,E1048,6/30/2026 15:00,-2055.94,Revenue
JE5308,E1057,1/21/2026 8:00,-9763.04,COGS
JE5309,E1035,7/6/2026 17:00,1110.86,Revenue
JE5310,E1049,3/16/2026 11:00,-7953.95,Revenue
JE5311,E1015,4/20/2026 17:00,-1715.46,Revenue
JE5312,E1053,5/8/2026 17:00,1442.15,Inventory
JE5313,E1032,5/28/2026 11:00,8741.77,AP
JE5314,E1027,1/1/2026 17:00,-5887.36,Payroll
JE5315,E1026,2/17/2026 9:00,939.38,AP
JE5316,E1004,5/15/2026 16:00,293.11,Payroll
JE5317,E1035,1/6/2026 14:00,14933.26,Revenue
JE5318,E1040,4/10/2026 13:00,-9853.99,Revenue
JE5319,E1022,7/21/2026 9:00,-6207.9,Inventory
JE5320,E1042,6/10/2026 9:00,10860.05,Inventory
JE5321,E1048,3/27/2026 10:00,-18226.57,Payroll
JE5322,E1021,7/28/2026 10:00,13215.35,Inventory
JE5323,E1029,6/29/2026 15:00,5269.43,COGS
JE5324,E1004,7/3/2026 15:00,-18520.65,COGS
JE5325,E1002,7/22/2026 11:00,15431.62,AP
JE5326,E1059,3/23/2026 16:00,-4071.04,Payroll
JE5327,E1030,3/6/2026 8:00,10131.64,COGS
JE5328,E1018,4/2/2026 8:00,14631.93,AP
JE5329,E1017,2/2/2026 13:00,-2521.94,AR
JE5330,E1047,4/23/2026 14:00,-6438.53,COGS
JE5331,E1031,6/29/2026 15:00,-5306.12,Payroll
JE5332,E1017,7/27/2026 9:00,9083.25,Revenue
JE5333,E1027,6/4/2026 10:00,1818.98,AP
JE5334,E1006,1/21/2026 13:00,6436.77,AP
JE5335,E1028,6/4/2026 14:00,-13334.21,AR
JE5336,E1022,4/27/2026 8:00,9072.58,AP
JE5337,E1039,4/22/2026 12:00,5578.77,Revenue
JE5338,E1004,6/22/2026 14:00,-5467.55,Inventory
JE5339,E1043,2/10/2026 8:00,-14288.82,Payroll
JE5340,E1043,7/20/2026 15:00,-18608.04,Revenue
JE5341,E1015,7/20/2026 13:00,-5513.98,Payroll
JE5342,E1002,6/4/2026 10:00,7162.48,AP
JE5343,E1023,4/24/2026 9:00,2956.87,Payroll
JE5344,E1023,4/13/2026 13:00,5982.43,COGS
JE5345,E1007,1/7/2026 10:00,-38.24,AR
JE5346,E1058,5/25/2026 9:00,-9528.93,AP
JE5347,E1045,4/27/2026 11:00,19854.6,AP
JE5348,E1044,5/6/2026 11:00,-15094.5,Revenue
JE5349,E1028,2/16/2026 15:00,19890.5,Inventory
JE5350,E1054,3/23/2026 13:00,8381.62,Payroll
JE5351,E1034,3/16/2026 12:00,14054.48,Inventory
JE5352,E1045,6/29/2026 10:00,11747.86,Payroll
JE5353,E1014,2/2/2026 11:00,11682.63,COGS
JE5354,E1050,5/7/2026 8:00,-5564.14,Payroll
JE5355,E1023,4/30/2026 16:00,-14809.15,Revenue
JE5356,E1004,3/23/2026 14:00,19983.8,Inventory
JE5357,E1030,5/15/2026 14:00,10766.58,Payroll
JE5358,E1004,2/2/2026 13:00,5693.54,AR
JE5359,E1029,6/24/2026 16:00,-6219.41,Payroll
JE5360,E1040,6/1/2026 10:00,10711.27,COGS
JE5361,E1027,5/11/2026 8:00,13255.63,Payroll
JE5362,E1009,3/19/2026 10:00,-13521.32,Inventory
JE5363,E1014,3/30/2026 16:00,15797.04,Revenue
JE5364,E1016,2/20/2026 16:00,-9021.96,Inventory
JE5365,E1019,6/8/2026 16:00,-16262.86,Inventory
JE5366,E1010,6/1/2026 17:00,-13832.23,Inventory
JE5367,E1039,7/6/2026 17:00,-6495.22,Payroll
JE5368,E1002,7/31/2026 8:00,-16751.09,Inventory
JE5369,E1049,5/28/2026 12:00,6045.2,Payroll
JE5370,E1026,6/8/2026 8:00,-78.48,Inventory
JE5371,E1034,3/16/2026 12:00,-682.21,Inventory
JE5372,E1025,3/18/2026 15:00,-17081.08,Revenue
JE5373,E1010,4/23/2026 14:00,-629.95,COGS
JE5374,E1021,6/5/2026 10:00,-7496.7,Inventory
JE5375,E1020,7/7/2026 13:00,19014.97,COGS
JE5376,E1048,4/6/2026 16:00,2466.05,AP
JE5377,E1015,4/30/2026 9:00,-9301.13,COGS
JE5378,E1009,1/26/2026 8:00,-8391.52,AR
JE5379,E1055,6/8/2026 14:00,-10069.19,COGS
JE5380,E1052,3/25/2026 17:00,8845.14,COGS
JE5381,E1048,2/10/2026 15:00,19838.78,AR
JE5382,E1031,3/20/2026 15:00,-19072.95,AR
JE5383,E1032,4/28/2026 11:00,-11394.22,AP
JE5384,E1003,1/13/2026 12:00,-204.23,Inventory
JE5385,E1043,5/1/2026 12:00,1467.63,Revenue
JE5386,E1027,2/4/2026 12:00,9100.32,AR
JE5387,E1023,1/12/2026 14:00,-17953.69,Payroll
JE5388,E1012,4/3/2026 16:00,-8455.93,AR
JE5389,E1032,4/27/2026 16:00,-8811.17,Payroll
JE5390,E1043,6/8/2026 9:00,-14853.46,Revenue
JE5391,E1025,4/6/2026 13:00,2313.27,AP
JE5392,E1048,2/6/2026 11:00,4098.52,AR
JE5393,E1032,1/12/2026 8:00,-18443.44,Inventory
JE5394,E1021,7/27/2026 15:00,773.31,COGS
JE5395,E1038,5/12/2026 10:00,-6881.37,Payroll
JE5396,E1020,2/11/2026 14:00,19624.63,Inventory
JE5397,E1053,3/18/2026 17:00,-6545.06,Payroll
JE5398,E1034,5/6/2026 17:00,-8008.38,Revenue
JE5399,E1023,3/26/2026 9:00,19195.92,Payroll
JE9000,E1019,7/23/2026 23:00,3876.38,AP
JE9001,E1041,7/20/2026 3:00,3105.38,Inventory
JE9002,E1003,5/30/2026 13:00,5161.01,Payroll
JE9003,E1049,8/8/2026 15:00,7229.08,Revenue
JE9004,E1036,7/4/2026 9:00,-2358.46,AR
JE9005,E1009,4/16/2026 2:00,72.78,Payroll
JE9006,E1058,5/1/2026 23:00,8231.01,Payroll
JE9007,E1013,5/24/2026 14:00,-865.16,AR
JE9008,E1020,2/14/2026 13:00,-6306.92,AP
JE9009,E1043,7/17/2026 1:00,4403.06,COGS
JE9010,E1015,3/13/2026 0:00,17659.42,AP
JE9011,E1049,3/15/2026 2:00,-7318.37,AP
JE9012,E1035,7/23/2026 1:00,-15125.04,Inventory
JE9013,E1034,4/8/2026 2:00,12735.1,COGS
JE9014,E1018,1/11/2026 14:00,-16838.82,AR
JE9015,E1041,3/7/2026 0:00,-11917.28,Payroll
JE9016,E1017,5/24/2026 0:00,-15630.94,Inventory
JE9017,E1037,3/7/2026 14:00,16207.37,COGS
JE9018,E1040,3/1/2026 12:00,-6788.26,AR
JE9019,E1006,6/24/2026 23:00,18580.75,COGS
JE9020,E1026,6/17/2026 2:00,-902.06,COGS
JE9021,E1048,3/15/2026 14:00,-17633.5,Revenue
JE9022,E1041,5/30/2026 14:00,8924.71,Revenue
JE9023,E1058,2/14/2026 15:00,-12968.45,Revenue
JE9024,E1053,4/12/2026 0:00,17464.35,AP
