invoice_id,vendor_id,vendor_name,amount,invoice_date,approved_by
INV10091,V204,Redline Industrial,24289.19,2026-07-08,E1046
INV10092,V200,Acme Supply Co,36024.09,2026-02-26,E1043
INV10093,V210,Meridian Components,9991.06,2026-04-22,E1043
INV10094,V208,Falcon Warehousing,1451.76,2026-03-28,E1052
INV10095,V209,Ironclad Fabrication,30609.51,2026-04-14,E1059
INV10096,V211,Silverline Freight,7552.26,2026-04-30,E1012
INV10097,V211,Silverline Freight,44135.38,2026-05-17,E1004
INV10098,V201,Northfield Logistics,40825.76,2026-06-01,E1048
INV10099,V206,Pioneer Materials,29885.54,2026-01-22,E1050
INV10100,V201,Northfield Logistics,19373.28,2026-04-29,E1016
INV10101,V200,Acme Supply Co,2405.27,2026-04-08,E1033
INV10102,V207,Vantage Trucking,9642.96,2026-03-25,E1033
INV10103,V209,Ironclad Fabrication,34291.15,2026-04-08,E1027
INV10104,V201,Northfield Logistics,33877.64,2026-08-01,E1041
INV10105,V210,Meridian Components,11464.38,2026-01-21,E1043
INV10106,V211,Silverline Freight,1019.34,2026-05-19,E1008
INV10107,V205,Coastal Distribution,44995.87,2026-03-31,E1024
INV10108,V210,Meridian Components,29308.96,2026-07-19,E1050
INV10109,V211,Silverline Freight,1955.58,2026-01-08,E1024
INV10110,V201,Northfield Logistics,9091.33,2026-01-06,E1049
INV10111,V210,Meridian Components,6984.35,2026-02-02,E1043
INV10112,V211,Silverline Freight,30175.23,2026-05-25,E1017
INV10113,V201,Northfield Logistics,21006.77,2026-03-07,E1035
INV10114,V202,Bluewater Freight,7675.34,2026-06-05,E1059
INV10115,V209,Ironclad Fabrication,32368.32,2026-07-19,E1016
INV10116,V210,Meridian Components,43417.73,2026-01-28,E1048
INV10117,V210,Meridian Components,1301.68,2026-03-21,E1048
INV10118,V205,Coastal Distribution,30529.03,2026-04-07,E1040
INV10119,V205,Coastal Distribution,42374.96,2026-02-20,E1010
INV10120,V208,Falcon Warehousing,26705.59,2026-08-01,E1050
INV10121,V208,Falcon Warehousing,11041.79,2026-06-28,E1032
INV10122,V210,Meridian Components,38285.65,2026-06-03,E1011
INV10123,V207,Vantage Trucking,35860.79,2026-05-25,E1008
INV10124,V211,Silverline Freight,15722.09,2026-04-20,E1052
INV10125,V209,Ironclad Fabrication,16770.1,2026-05-10,E1050
INV10126,V210,Meridian Components,15454.22,2026-08-06,E1041
INV10127,V210,Meridian Components,37031.54,2026-01-28,E1041
INV10128,V206,Pioneer Materials,43241.32,2026-06-12,E1042
INV10129,V209,Ironclad Fabrication,31872.79,2026-04-22,E1016
INV10130,V207,Vantage Trucking,33060.72,2026-06-16,E1027
INV10131,V205,Coastal Distribution,27773.67,2026-05-18,E1043
INV10132,V209,Ironclad Fabrication,20999.59,2026-07-31,E1059
INV10133,V207,Vantage Trucking,26722.49,2026-03-24,E1024
INV10134,V203,Summit Parts,37408.29,2026-01-23,E1027
INV10135,V200,Acme Supply Co,39691.16,2026-03-04,E1042
INV10136,V211,Silverline Freight,25707.76,2026-06-21,E1040
INV10137,V203,Summit Parts,15237.39,2026-05-07,E1033
INV10138,V211,Silverline Freight,8305.52,2026-02-24,E1035
INV10139,V203,Summit Parts,35932.78,2026-03-29,E1027
INV10140,V200,Acme Supply Co,39632.35,2026-06-29,E1027
INV10141,V204,Redline Industrial,25077.23,2026-05-13,E1017
INV10142,V211,Silverline Freight,3989.74,2026-07-04,E1041
INV10143,V203,Summit Parts,22062.72,2026-07-14,E1024
INV10144,V210,Meridian Components,31123.83,2026-06-15,E1056
INV10145,V202,Bluewater Freight,22163.34,2026-07-22,E1004
INV10146,V210,Meridian Components,4323.44,2026-02-26,E1040
INV10147,V204,Redline Industrial,31176.65,2026-03-20,E1052
INV10148,V203,Summit Parts,26232.77,2026-05-02,E1046
INV10149,V208,Falcon Warehousing,23961.85,2026-04-19,E1059
INV10150,V203,Summit Parts,24834.92,2026-04-01,E1056
INV10151,V211,Silverline Freight,20500.48,2026-03-20,E1027
INV10152,V204,Redline Industrial,10489.63,2026-07-04,E1017
INV10153,V207,Vantage Trucking,14302.33,2026-07-10,E1046
INV10154,V207,Vantage Trucking,42796.86,2026-06-26,E1016
INV10155,V202,Bluewater Freight,8740.61,2026-07-09,E1043
INV10156,V210,Meridian Components,12551.01,2026-05-31,E1044
INV10157,V204,Redline Industrial,26916.06,2026-01-26,E1017
INV10158,V207,Vantage Trucking,13436.65,2026-04-03,E1016
INV10159,V203,Summit Parts,13706.7,2026-07-01,E1046
INV10160,V207,Vantage Trucking,5827.25,2026-01-12,E1008
INV10161,V206,Pioneer Materials,24968.15,2026-06-28,E1012
INV10162,V210,Meridian Components,28758.45,2026-07-12,E1043
INV10163,V207,Vantage Trucking,4751.06,2026-01-04,E1048
INV10164,V205,Coastal Distribution,12902.62,2026-05-03,E1042
INV10165,V204,Redline Industrial,15430.66,2026-01-14,E1027
INV10166,V204,Redline Industrial,42356.7,2026-05-03,E1011
INV10167,V209,Ironclad Fabrication,37021.89,2026-04-13,E1043
INV10168,V207,Vantage Trucking,3472.59,2026-06-11,E1052
INV10169,V209,Ironclad Fabrication,2554.37,2026-02-08,E1048
INV10170,V209,Ironclad Fabrication,42718.29,2026-01-22,E1024
INV10171,V211,Silverline Freight,5462.55,2026-07-15,E1041
INV10172,V206,Pioneer Materials,27343.35,2026-07-22,E1049
INV10173,V206,Pioneer Materials,10272.07,2026-05-14,E1040
INV10174,V204,Redline Industrial,20355.57,2026-04-24,E1032
INV10175,V203,Summit Parts,38728.47,2026-04-20,E1032
INV10176,V200,Acme Supply Co,25653.03,2026-01-16,E1049
INV10177,V204,Redline Industrial,43210.88,2026-01-26,E1017
INV10178,V204,Redline Industrial,28204.35,2026-03-09,E1052
INV10179,V204,Redline Industrial,3791.26,2026-03-03,E1016
INV10180,V210,Meridian Components,24906.85,2026-02-10,E1004
INV10181,V200,Acme Supply Co,18472.01,2026-06-26,E1049
INV10182,V208,Falcon Warehousing,21225.57,2026-01-09,E1024
INV10183,V207,Vantage Trucking,13071.5,2026-03-14,E1056
INV10184,V202,Bluewater Freight,38703.36,2026-01-19,E1052
INV10185,V211,Silverline Freight,10619.06,2026-03-09,E1050
INV10186,V206,Pioneer Materials,26602.06,2026-07-25,E1017
INV10187,V211,Silverline Freight,19217.48,2026-05-20,E1024
INV10188,V207,Vantage Trucking,29196.42,2026-03-10,E1012
INV10189,V211,Silverline Freight,3352.73,2026-02-12,E1032
INV10190,V210,Meridian Components,26837.73,2026-07-31,E1048
INV10191,V211,Silverline Freight,41465.48,2026-04-23,E1011
INV10192,V210,Meridian Components,21171.1,2026-03-19,E1056
INV10193,V201,Northfield Logistics,18202.51,2026-03-11,E1044
INV10194,V202,Bluewater Freight,24368.17,2026-04-23,E1010
INV10195,V201,Northfield Logistics,26971.94,2026-04-21,E1059
INV10196,V205,Coastal Distribution,14606.12,2026-03-06,E1004
INV10197,V204,Redline Industrial,4246.01,2026-06-22,E1048
INV10198,V211,Silverline Freight,26482.46,2026-01-06,E1052
INV10199,V207,Vantage Trucking,36990.74,2026-05-28,E1008
INV10200,V204,Redline Industrial,34375.44,2026-02-14,E1043
INV10201,V211,Silverline Freight,23425.53,2026-04-24,E1027
INV10202,V209,Ironclad Fabrication,8289.79,2026-05-30,E1041
INV10203,V200,Acme Supply Co,28620.09,2026-05-06,E1010
INV10204,V209,Ironclad Fabrication,21229.97,2026-04-15,E1033
INV10205,V211,Silverline Freight,14549.46,2026-01-27,E1016
INV10206,V209,Ironclad Fabrication,14941.69,2026-06-27,E1043
INV10207,V211,Silverline Freight,13076.57,2026-04-13,E1046
INV10208,V200,Acme Supply Co,1795.87,2026-01-23,E1033
INV10209,V205,Coastal Distribution,11470.09,2026-01-30,E1040
INV10210,V206,Pioneer Materials,38941.24,2026-07-31,E1004
INV10211,V205,Coastal Distribution,29646.07,2026-05-19,E1042
INV10212,V205,Coastal Distribution,18684.15,2026-02-18,E1044
INV10213,V202,Bluewater Freight,16375.8,2026-07-13,E1043
INV10214,V211,Silverline Freight,28199.58,2026-07-14,E1008
INV10215,V203,Summit Parts,9279.59,2026-05-21,E1012
INV10216,V204,Redline Industrial,41756.12,2026-04-23,E1056
INV10217,V207,Vantage Trucking,21889.32,2026-01-08,E1050
INV10218,V209,Ironclad Fabrication,27457.89,2026-03-03,E1056
INV10219,V200,Acme Supply Co,7253.26,2026-05-22,E1004
INV10220,V209,Ironclad Fabrication,24918.48,2026-01-24,E1024
INV10221,V201,Northfield Logistics,44652.73,2026-01-30,E1042
INV10222,V202,Bluewater Freight,42625.67,2026-06-15,E1012
INV10223,V208,Falcon Warehousing,22502.14,2026-07-03,E1032
INV10224,V207,Vantage Trucking,22972.91,2026-03-11,E1041
INV10225,V209,Ironclad Fabrication,37587.37,2026-05-01,E1024
INV10226,V209,Ironclad Fabrication,20636.87,2026-02-07,E1040
INV10227,V202,Bluewater Freight,8698.88,2026-06-03,E1044
INV10228,V202,Bluewater Freight,33621.22,2026-02-04,E1010
INV10229,V211,Silverline Freight,12539.7,2026-07-22,E1041
INV10230,V210,Meridian Components,15393.4,2026-07-21,E1044
INV10231,V208,Falcon Warehousing,12132.69,2026-01-01,E1032
INV10232,V201,Northfield Logistics,32713.39,2026-08-03,E1048
INV10233,V208,Falcon Warehousing,26159.56,2026-06-18,E1043
INV10234,V204,Redline Industrial,38956.94,2026-04-25,E1046
INV10235,V209,Ironclad Fabrication,21872.71,2026-03-27,E1046
INV10236,V200,Acme Supply Co,34364.84,2026-04-07,E1042
INV10237,V203,Summit Parts,41988.42,2026-02-18,E1056
INV10238,V204,Redline Industrial,10860.43,2026-04-09,E1024
INV10239,V207,Vantage Trucking,38542.18,2026-04-16,E1008
INV10240,V208,Falcon Warehousing,14420.21,2026-05-02,E1056
INV10241,V203,Summit Parts,41117.34,2026-04-08,E1040
INV10242,V202,Bluewater Freight,44480.37,2026-07-22,E1050
INV10243,V205,Coastal Distribution,44139.69,2026-05-07,E1008
INV10244,V200,Acme Supply Co,5812.15,2026-06-01,E1033
INV10245,V211,Silverline Freight,39156.06,2026-08-05,E1042
INV10246,V205,Coastal Distribution,4622.07,2026-04-27,E1004
INV10247,V203,Summit Parts,32551.61,2026-04-15,E1050
INV10248,V209,Ironclad Fabrication,43652.56,2026-01-20,E1043
INV10249,V210,Meridian Components,35201.41,2026-03-09,E1033
INV10250,V205,Coastal Distribution,28103.18,2026-04-12,E1050
INV10251,V202,Bluewater Freight,3752.14,2026-03-26,E1052
INV10252,V210,Meridian Components,38691.5,2026-04-08,E1033
INV10253,V211,Silverline Freight,28261.94,2026-07-14,E1043
INV10254,V204,Redline Industrial,39276.38,2026-01-10,E1049
INV10255,V204,Redline Industrial,3218.67,2026-06-11,E1052
INV10256,V209,Ironclad Fabrication,41453.67,2026-02-28,E1059
INV10257,V200,Acme Supply Co,4203.51,2026-01-26,E1050
INV10258,V209,Ironclad Fabrication,31719.5,2026-01-26,E1042
INV10259,V201,Northfield Logistics,7611.46,2026-03-18,E1004
INV10260,V211,Silverline Freight,2212.69,2026-07-23,E1008
INV10261,V206,Pioneer Materials,13307.54,2026-04-06,E1041
INV10262,V205,Coastal Distribution,6678.81,2026-05-16,E1041
INV10263,V202,Bluewater Freight,25531.87,2026-07-22,E1016
INV10264,V208,Falcon Warehousing,7773.77,2026-01-21,E1049
INV10265,V206,Pioneer Materials,39207.16,2026-06-08,E1052
INV10266,V201,Northfield Logistics,10951.22,2026-05-30,E1012
INV10267,V200,Acme Supply Co,10563.65,2026-06-13,E1027
INV10268,V204,Redline Industrial,20761.74,2026-06-20,E1004
INV10269,V210,Meridian Components,40466.05,2026-04-30,E1032
INV10270,V209,Ironclad Fabrication,30540.85,2026-02-10,E1010
INV10271,V207,Vantage Trucking,19961.58,2026-03-30,E1048
INV10272,V209,Ironclad Fabrication,13567.07,2026-04-19,E1056
INV10273,V201,Northfield Logistics,11366.91,2026-08-05,E1032
INV10274,V208,Falcon Warehousing,9084.88,2026-04-09,E1043
INV10275,V211,Silverline Freight,4933.4,2026-04-08,E1048
INV10276,V204,Redline Industrial,16249.32,2026-03-17,E1056
INV10277,V207,Vantage Trucking,13391.1,2026-08-01,E1052
INV10278,V211,Silverline Freight,17901.89,2026-01-03,E1048
INV10279,V207,Vantage Trucking,38948.27,2026-07-19,E1059
INV10280,V202,Bluewater Freight,43816.09,2026-06-05,E1059
INV10281,V208,Falcon Warehousing,22428.22,2026-03-15,E1024
INV10282,V205,Coastal Distribution,27376.87,2026-04-01,E1024
INV10283,V211,Silverline Freight,28702.31,2026-06-08,E1027
INV10284,V202,Bluewater Freight,30547.74,2026-07-04,E1052
INV10285,V203,Summit Parts,30686.35,2026-02-05,E1050
INV10286,V208,Falcon Warehousing,4507.8,2026-06-10,E1050
INV10287,V211,Silverline Freight,1918.1,2026-07-21,E1042
INV10288,V211,Silverline Freight,1646.4,2026-04-04,E1059
INV10289,V204,Redline Industrial,6043.82,2026-03-17,E1033
INV10290,V204,Redline Industrial,33674.52,2026-02-14,E1017
INV10291,V201,Northfield Logistics,6077.37,2026-05-19,E1035
INV10292,V202,Bluewater Freight,23958.73,2026-03-11,E1016
INV10293,V208,Falcon Warehousing,11675.11,2026-07-31,E1043
INV10294,V209,Ironclad Fabrication,43537.18,2026-03-17,E1059
INV10295,V209,Ironclad Fabrication,39187.3,2026-07-25,E1011
INV10296,V209,Ironclad Fabrication,21154.66,2026-01-20,E1012
INV10297,V206,Pioneer Materials,33973.69,2026-02-27,E1052
INV10298,V200,Acme Supply Co,32631.12,2026-04-12,E1046
INV10299,V210,Meridian Components,16555.01,2026-07-22,E1040
INV10300,V210,Meridian Components,774.25,2026-05-18,E1011
INV10301,V205,Coastal Distribution,20547.15,2026-06-22,E1059
INV10302,V204,Redline Industrial,30304.48,2026-05-30,E1040
INV10303,V206,Pioneer Materials,37035.42,2026-04-06,E1011
INV10304,V209,Ironclad Fabrication,30416.42,2026-05-01,E1004
INV10305,V200,Acme Supply Co,27936.68,2026-05-24,E1033
INV10306,V211,Silverline Freight,41199.23,2026-02-26,E1050
INV10307,V201,Northfield Logistics,2985.28,2026-07-30,E1042
INV10308,V210,Meridian Components,40936.04,2026-03-19,E1050
INV10309,V201,Northfield Logistics,18462.07,2026-02-05,E1008
INV10310,V211,Silverline Freight,42589.83,2026-03-19,E1043
INV10311,V208,Falcon Warehousing,5358.0,2026-03-02,E1046
INV10312,V205,Coastal Distribution,6234.53,2026-04-27,E1035
INV10313,V204,Redline Industrial,30221.31,2026-07-10,E1056
INV10314,V201,Northfield Logistics,42576.94,2026-04-18,E1048
INV10315,V204,Redline Industrial,33440.77,2026-02-09,E1041
INV10316,V202,Bluewater Freight,29523.25,2026-08-02,E1043
INV10317,V206,Pioneer Materials,27762.0,2026-03-13,E1008
INV10318,V209,Ironclad Fabrication,31109.09,2026-02-25,E1042
INV10319,V209,Ironclad Fabrication,20094.61,2026-03-02,E1035
INV10320,V201,Northfield Logistics,4606.05,2026-06-25,E1035
INV10321,V201,Northfield Logistics,24569.29,2026-06-15,E1035
INV10322,V209,Ironclad Fabrication,2865.67,2026-03-12,E1017
INV10323,V201,Northfield Logistics,43574.08,2026-08-06,E1042
INV10324,V204,Redline Industrial,4261.55,2026-02-24,E1050
INV10325,V205,Coastal Distribution,28831.26,2026-01-06,E1008
INV10326,V206,Pioneer Materials,35437.74,2026-03-04,E1012
INV10327,V204,Redline Industrial,35445.97,2026-02-22,E1010
INV10328,V208,Falcon Warehousing,37367.33,2026-05-22,E1017
INV10329,V202,Bluewater Freight,26449.28,2026-07-28,E1024
INV10330,V205,Coastal Distribution,14885.9,2026-02-07,E1049
INV10331,V204,Redline Industrial,277.17,2026-08-08,E1012
INV10332,V204,Redline Industrial,44440.6,2026-05-19,E1027
INV10333,V208,Falcon Warehousing,35963.34,2026-01-29,E1052
INV10334,V211,Silverline Freight,39010.19,2026-02-03,E1004
INV10335,V208,Falcon Warehousing,16217.17,2026-07-21,E1024
INV10336,V203,Summit Parts,26560.05,2026-01-05,E1016
INV10337,V200,Acme Supply Co,12051.73,2026-02-02,E1059
INV10338,V211,Silverline Freight,19030.08,2026-01-30,E1059
INV10339,V211,Silverline Freight,3000.58,2026-04-25,E1035
INV10340,V201,Northfield Logistics,23168.72,2026-01-28,E1042
INV10341,V205,Coastal Distribution,22747.17,2026-06-07,E1008
INV10342,V208,Falcon Warehousing,32766.85,2026-06-18,E1044
INV10343,V208,Falcon Warehousing,13678.12,2026-06-14,E1004
INV10344,V207,Vantage Trucking,2878.02,2026-05-03,E1040
INV10345,V207,Vantage Trucking,19268.37,2026-01-28,E1043
INV10346,V201,Northfield Logistics,32101.2,2026-04-24,E1010
INV10347,V207,Vantage Trucking,40482.11,2026-03-24,E1049
INV10348,V201,Northfield Logistics,6802.77,2026-02-02,E1027
INV10349,V200,Acme Supply Co,28150.64,2026-05-30,E1046
INV10350,V208,Falcon Warehousing,32090.05,2026-04-08,E1049
INV10351,V204,Redline Industrial,23945.47,2026-04-27,E1044
INV10352,V201,Northfield Logistics,27303.39,2026-01-26,E1056
INV10353,V210,Meridian Components,5281.47,2026-06-17,E1050
INV10354,V200,Acme Supply Co,39515.12,2026-05-22,E1059
INV10355,V208,Falcon Warehousing,38967.33,2026-04-21,E1042
INV10356,V200,Acme Supply Co,39980.88,2026-04-16,E1033
INV10357,V202,Bluewater Freight,37259.75,2026-04-13,E1041
INV10358,V208,Falcon Warehousing,32873.12,2026-03-22,E1041
INV10359,V200,Acme Supply Co,14166.68,2026-03-07,E1035
INV10360,V200,Acme Supply Co,42918.62,2026-06-25,E1043
INV10361,V210,Meridian Components,3160.93,2026-08-01,E1010
INV10362,V204,Redline Industrial,4331.37,2026-01-25,E1059
INV10363,V201,Northfield Logistics,33285.0,2026-07-27,E1012
INV10364,V207,Vantage Trucking,25103.23,2026-05-31,E1046
INV10365,V205,Coastal Distribution,25341.5,2026-06-21,E1011
INV10366,V205,Coastal Distribution,18574.77,2026-06-20,E1041
INV10367,V201,Northfield Logistics,39083.93,2026-07-04,E1008
INV10368,V207,Vantage Trucking,43582.68,2026-06-03,E1032
INV10369,V203,Summit Parts,15921.33,2026-05-28,E1044
INV10370,V201,Northfield Logistics,9691.34,2026-06-18,E1043
INV10371,V200,Acme Supply Co,10207.38,2026-01-28,E1035
INV10372,V201,Northfield Logistics,38065.0,2026-04-05,E1011
INV10373,V202,Bluewater Freight,34352.86,2026-05-27,E1024
INV10374,V211,Silverline Freight,36353.88,2026-08-05,E1046
INV10375,V206,Pioneer Materials,43858.42,2026-07-29,E1049
INV10376,V210,Meridian Components,27668.76,2026-06-14,E1046
INV10377,V203,Summit Parts,1327.48,2026-06-18,E1056
INV10378,V205,Coastal Distribution,12145.03,2026-02-16,E1027
INV10379,V201,Northfield Logistics,31666.04,2026-03-21,E1033
INV10380,V204,Redline Industrial,15893.4,2026-02-16,E1012
INV10381,V205,Coastal Distribution,25549.5,2026-04-13,E1010
INV10382,V205,Coastal Distribution,6513.08,2026-06-12,E1004
INV10383,V201,Northfield Logistics,4265.33,2026-05-16,E1017
INV10384,V202,Bluewater Freight,17022.32,2026-04-27,E1033
INV10385,V206,Pioneer Materials,7209.81,2026-03-21,E1059
INV10386,V200,Acme Supply Co,14698.57,2026-05-26,E1049
INV10387,V209,Ironclad Fabrication,3960.32,2026-01-14,E1012
INV10388,V210,Meridian Components,7209.83,2026-06-08,E1008
INV10389,V200,Acme Supply Co,30377.5,2026-03-11,E1042
INV10390,V208,Falcon Warehousing,29837.95,2026-05-05,E1049
INV10391,V205,Coastal Distribution,19975.68,2026-03-11,E1017
INV10392,V207,Vantage Trucking,34009.2,2026-01-30,E1035
INV10393,V208,Falcon Warehousing,19431.63,2026-03-14,E1052
INV10394,V210,Meridian Components,30580.11,2026-05-05,E1044
INV10395,V201,Northfield Logistics,30070.9,2026-01-12,E1024
INV10396,V205,Coastal Distribution,17877.56,2026-06-03,E1008
INV10397,V208,Falcon Warehousing,494.77,2026-03-19,E1017
INV10398,V207,Vantage Trucking,34565.63,2026-07-15,E1027
INV10399,V206,Pioneer Materials,13131.7,2026-01-31,E1004
INV10400,V200,Acme Supply Co,22457.73,2026-04-21,E1016
INV10401,V204,Redline Industrial,5943.98,2026-05-17,E1056
INV10402,V205,Coastal Distribution,10470.47,2026-05-24,E1052
INV10403,V208,Falcon Warehousing,36308.08,2026-01-19,E1040
INV10404,V211,Silverline Freight,38800.13,2026-01-11,E1041
INV10405,V203,Summit Parts,990.56,2026-01-20,E1033
INV10406,V201,Northfield Logistics,25972.8,2026-05-27,E1040
INV10407,V203,Summit Parts,31971.03,2026-04-17,E1032
INV10408,V202,Bluewater Freight,5315.53,2026-01-06,E1033
INV10409,V204,Redline Industrial,7858.51,2026-06-08,E1042
INV10410,V205,Coastal Distribution,37466.36,2026-04-03,E1010
INV10411,V210,Meridian Components,19736.52,2026-01-28,E1024
INV10412,V210,Meridian Components,19690.09,2026-04-13,E1044
INV10413,V201,Northfield Logistics,3677.32,2026-03-21,E1059
INV10414,V204,Redline Industrial,15377.17,2026-03-27,E1016
INV10415,V211,Silverline Freight,3575.62,2026-06-12,E1011
INV10416,V201,Northfield Logistics,23947.63,2026-02-19,E1035
INV10417,V204,Redline Industrial,15896.82,2026-07-29,E1050
INV10418,V208,Falcon Warehousing,36704.41,2026-03-02,E1011
INV10419,V203,Summit Parts,6718.02,2026-02-20,E1016
INV10420,V202,Bluewater Freight,27167.59,2026-07-14,E1050
INV10421,V206,Pioneer Materials,3529.59,2026-07-17,E1050
INV10422,V204,Redline Industrial,22311.15,2026-07-13,E1048
INV10423,V204,Redline Industrial,34230.49,2026-04-25,E1052
INV10424,V208,Falcon Warehousing,41598.32,2026-05-25,E1050
